/ext3/miniconda3/lib/python3.9/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 6 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
Epoch 2, batch 47, loss=0.9180404543876648
Epoch 2, batch 48, loss=0.9875873327255249
Epoch 2, batch 49, loss=1.069059133529663
Epoch 2, batch 50, loss=0.9613353610038757
Epoch 2, batch 51, loss=1.0008811950683594
Epoch 2, batch 52, loss=0.9842514395713806
Epoch 2, batch 53, loss=0.9696228504180908
Epoch 2, batch 54, loss=0.9671114683151245
Epoch 2, batch 55, loss=0.9339134693145752
Epoch 2, batch 56, loss=0.974360466003418
Epoch 2, batch 57, loss=1.022053599357605
Epoch 2, batch 58, loss=1.0224967002868652
Epoch 2, batch 59, loss=0.9799701571464539
Epoch 2, batch 60, loss=1.0009417533874512
Epoch 2, batch 61, loss=1.097393274307251
Epoch 2, batch 62, loss=1.0303903818130493
Epoch 2, batch 63, loss=1.0408203601837158
Epoch 2, batch 64, loss=0.9622895121574402
Epoch 2, batch 65, loss=1.0060451030731201
Epoch 2, batch 66, loss=1.042299747467041
Epoch 2, batch 67, loss=0.9887545108795166
Epoch 2, batch 68, loss=1.0655860900878906
Epoch 2, batch 69, loss=0.9531152248382568
Epoch 2, batch 70, loss=1.0623526573181152
Epoch 2, batch 71, loss=0.9541160464286804
Epoch 2, batch 72, loss=0.9219287633895874
Epoch 2, batch 73, loss=0.9409230947494507
Epoch 2, batch 74, loss=0.9669109582901001
